FIPS Code,State and area,Year,Month,Population,Civilian labor force,Percent Labour Force,Employed,Employment Rate,Unemployed,Unemployment Rate,state,code,fips,day,month_
18,Indiana,2020.0,11.0,5282747.0,3342762.0,63.3,3181688.0,60.2,161074.0,4.8,Indiana,IN,18.0,1,2020-11
19,Iowa,2020.0,11.0,2481531.0,1633755.0,65.8,1574014.0,63.4,59741.0,3.7,Iowa,IA,19.0,1,2020-11
20,Kansas,2020.0,11.0,2236775.0,1515460.0,67.8,1452175.0,64.9,63285.0,4.2,Kansas,KS,20.0,1,2020-11
21,Kentucky,2020.0,11.0,3511462.0,1993966.0,56.8,1893138.0,53.9,100828.0,5.1,Kentucky,KY,21.0,1,2020-11
22,Louisiana,2020.0,11.0,3579170.0,2098192.0,58.6,1944617.0,54.3,153575.0,7.3,Louisiana,LA,22.0,1,2020-11
23,Maine,2020.0,11.0,1120025.0,663691.0,59.3,632734.0,56.5,30957.0,4.7,Maine,ME,23.0,1,2020-11
24,Maryland,2020.0,11.0,4774038.0,3120857.0,65.4,2914268.0,61.0,206589.0,6.6,Maryland,MD,24.0,1,2020-11
25,Massachusetts,2020.0,11.0,5647713.0,3699806.0,65.5,3416319.0,60.5,283487.0,7.7,Massachusetts,MA,25.0,1,2020-11
26,Michigan,2020.0,11.0,7995779.0,4862903.0,60.8,4503176.0,56.3,359727.0,7.4,Michigan,MI,26.0,1,2020-11
27,Minnesota,2020.0,11.0,4456287.0,3053209.0,68.5,2921482.0,65.6,131727.0,4.3,Minnesota,MN,27.0,1,2020-11
28,Mississippi,2020.0,11.0,2286424.0,1272847.0,55.7,1193100.0,52.2,79747.0,6.3,Mississippi,MS,28.0,1,2020-11
29,Missouri,2020.0,11.0,4842526.0,3055824.0,63.1,2928058.0,60.5,127766.0,4.2,Missouri,MO,29.0,1,2020-11
30,Montana,2020.0,11.0,865491.0,532562.0,61.5,509738.0,58.9,22824.0,4.3,Montana,MT,30.0,1,2020-11
31,Nebraska,2020.0,11.0,1489408.0,1023234.0,68.7,993381.0,66.7,29853.0,2.9,Nebraska,NE,31.0,1,2020-11
32,Nevada,2020.0,11.0,2498025.0,1513547.0,60.6,1387099.0,55.5,126448.0,8.4,Nevada,NV,32.0,1,2020-11
33,New Hampshire,2020.0,11.0,1132806.0,759782.0,67.1,729727.0,64.4,30055.0,4.0,New Hampshire,NH,33.0,1,2020-11
34,New Jersey,2020.0,11.0,7075314.0,4492693.0,63.5,4059272.0,57.4,433421.0,9.6,New Jersey,NJ,34.0,1,2020-11
35,New Mexico,2020.0,11.0,1657514.0,963799.0,58.1,886059.0,53.5,77740.0,8.1,New Mexico,NM,35.0,1,2020-11
36,New York,2020.0,11.0,15543645.0,9231677.0,59.4,8468209.0,54.5,763468.0,8.3,New York,NY,36.0,1,2020-11
51000,New York city,2020.0,11.0,6646239.0,3867981.0,58.2,3416619.0,51.4,451362.0,11.7,,,,1,2020-11
37,North Carolina,2020.0,11.0,8397996.0,5038460.0,60.0,4723262.0,56.2,315198.0,6.3,North Carolina,NC,37.0,1,2020-11
38,North Dakota,2020.0,11.0,585792.0,400126.0,68.3,383077.0,65.4,17049.0,4.3,North Dakota,ND,38.0,1,2020-11
39,Ohio,2020.0,11.0,9261688.0,5719557.0,61.8,5440729.0,58.7,278828.0,4.9,Ohio,OH,39.0,1,2020-11
40,Oklahoma,2020.0,11.0,3061177.0,1872237.0,61.2,1784026.0,58.3,88211.0,4.7,Oklahoma,OK,40.0,1,2020-11
41,Oregon,2020.0,11.0,3452417.0,2133389.0,61.8,2003430.0,58.0,129959.0,6.1,Oregon,OR,41.0,1,2020-11
42,Pennsylvania,2020.0,11.0,10277120.0,6303477.0,61.3,5895259.0,57.4,408218.0,6.5,Pennsylvania,PA,42.0,1,2020-11
44,Rhode Island,2020.0,11.0,864222.0,541086.0,62.6,499532.0,57.8,41554.0,7.7,Rhode Island,RI,44.0,1,2020-11
45,South Carolina,2020.0,11.0,4153709.0,2339424.0,56.3,2213282.0,53.3,126142.0,5.4,South Carolina,SC,45.0,1,2020-11
